Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
637 Best lines ever If it looks the same coming up as it does going down then there is something wrong,,21,7,0,0,0.0,0
"NO NOOOOO
MY BOI
MY BEST BOI
JUANE NO
MY BOI",,7,7,0,0,0.0,0
"At the part when juan and prtta are standing my first impression 
NOO DONT LET THE COTTON CANDY HIT THE GROUND U MONSTERS",,23,16,0,0,0.0,0
"Jaune if you believe its your destiny to save the world you cant let anything stand in your way
*Pyrrha starts to cry*
Me already crying my boy w you just dont know what is going to happen",,36,13,0,0,0.0,0
Putting off the next episode Putting off the next episode PUTTING OFF THE NEXT EPISODE,,15,9,0,0,0.0,0
The Penny drawings at the end triggered me,,8,4,0,0,0.0,0
"1130
close your eyes and leave the rest to me",,9,4,0,0,0.0,0
Well all this destiny talk got me thinkingUNITY DUTY DESTINY,,10,6,0,0,0.0,0
If Aaron  was in rwby LIKE from aphmau,,9,6,0,0,0.0,0
"Remember the good days when we could see Jaune in a dress dancing with Pyrrha now its Jaune on the floor and Pyrrha running away crying      
whyyyyy",,32,18,0,0,0.0,0
This is the 8th time I have watched this series waiting for next volume xD,,15,9,0,0,0.0,0
The cotton candy wasnt eaten  RIP cotton candy,,9,8,0,0,0.0,0
It could be the most important fight of your entire life  Nora Ohhh,,14,7,0,0,0.0,0
Im getting some strong Wonder Woman vibes from Pyyrah,,9,6,0,0,0.0,0
i cried,,2,1,0,0,0.0,0
QROW STOP SNEAKING INTO SISMYBLAKEWEISS ROOM,,6,6,0,0,0.0,0
"RUBY STOP ENCOURAGING THEM
FIRST IT WAS BREAK A LEG NOW ITS WIN ONE STOOOOP",,14,14,0,0,0.0,0
I love velvets accsent can anybody tell me what it us,,11,4,0,0,0.0,0
woohhooowww jaunra,,2,2,0,0,0.0,0
Nora and ren I ship it jaun and phyra I ship it Blake and ad i dont think i should say that one ,"ren, ship, ship",24,12,1,0.125,0.25,3
the frick they just left the cotton candy on the ground WOW just WOW also my ship ,ship,18,9,1,0.05555555555555555,0.1111111111111111,1
Rewatching the series and I cant keep going its too hard,,11,6,0,0,0.0,0
Polarity vs Metal Good lord theyve turned on the flamethrowers GET THEM AWAY FROM THE TREES,,16,13,0,0,0.0,0
600 I need one of those aprons,,7,3,0,0,0.0,0
306 STOP PUTTING HOLES IN MY SHIP,,7,7,0,0,0.0,0
Usually the slightly incompetent but super nice guy has a crush on the super awesome hot girl but in this show its the other way around lol,,27,11,0,0,0.0,0
Ruby how are you going,,5,2,0,0,0.0,0
"656 Jaune how about we all go get some fresh air
Me the Windows open _",,15,7,0,0,0.0,0
"1124 This makes the future even more heartbreaking
Dx
GOD DAMMIT RT WHY
WHY DO YOU DO DIS TO US",,17,13,0,0,0.0,0
"Nora YEAAAAAAAAH
Ren yeah",,3,3,0,0,0.0,0
"Combat heels vs Converse 
Who wins",,6,5,0,0,0.0,0
"Nora  YEAH
Ren yay",,4,4,0,0,0.0,0
To protect the world from deviationto unite all people within our nation,,12,6,0,0,0.0,0
I get that its a show and all but even in my third rewatch Im still infuriated by the people of Remnants response to the legbreaking Note that I am not connected to reality so this is just all normal behavior in that field,,44,16,0,0,0.0,0
me at the end RUBY BREAK HIS LEG AGAIN,,9,5,0,0,0.0,0
After you got forced onto a pillar by your admirer you have the sense to say *what did I say* ,,21,9,0,0,0.0,0
Lol the flavour names in the background Date Grape Orphan souls Pimp juice etc,,14,10,0,0,0.0,0
Dang that chick was shaken up by the news not stirred,,11,5,0,0,0.0,0
I guess this fight has been brewing for a while,,10,4,0,0,0.0,0
this is the quality kind of title i want in every rt video,,13,5,0,0,0.0,0
"just noticed the Gus has a red drink and Geoff an orange one
not sure if it was intentional but if it was very clever roosterteeth",,25,10,0,0,0.0,0
I feel like suddenly these have gotten much better animated I like it adds more to the stories theyre accompanying,,20,9,0,0,0.0,0
I saw Geoff and Gus in the tittle and I know it is going to be good,,17,7,0,0,0.0,0
The animation on this one looks noticeably better than usual like more fluid or something Not that the previous were bad or anything just like theres something thats improved,,29,10,0,0,0.0,0
Yea As someone who deals with customers also We take stuff like that seriously Luckily most of my coworkers like me from what I can tell at least,,28,10,0,0,0.0,0
Props to that brunette waitress for that elbow drop Although one wonders how much damage you can do without actual elbows,,21,10,0,0,0.0,0
I like how one of the daiquiri options is Orphan Souls Background jokes are fun,,15,8,0,0,0.0,0
Grif Simmons Why,,3,3,0,0,0.0,0
Geoff and Gus wanna be starting something They got to be starting something,,13,6,0,0,0.0,0
0022,,1,1,0,0,0.0,0
Anyone want to drink some Orphan Souls with me,,9,4,0,0,0.0,0
Orphan Souls HmmI wonder what that would taste like,,9,5,0,0,0.0,0
anyone else notice the Daiquiri flavors there were I dont know about you but the Date Grapeand Pimp Juice look amazing lol,,22,11,0,0,0.0,0
So essentially this was the Worlds End americansed lol,,9,6,0,0,0.0,0
sounds like something youd expect from Grif and Simmons,,9,4,0,0,0.0,0
0023 Youre welcome,,3,2,0,0,0.0,0
This comment will be lost and their is nothing you can do about that,,14,4,0,0,0.0,0
Did one of them diequiri,,5,2,0,0,0.0,0
Every time I see the RTX ads I get pissed because I cant go 2000 or more just for 5 days there and flights and tickets,,26,14,0,0,0.0,0
Just like American foreign policy Zing,,6,5,0,0,0.0,0
I bet her battlecry is Die Kiri Im I right,,10,7,0,0,0.0,0
I think they were just having rough sex in the backroom,sex,11,4,1,0.09090909090909091,0.25,1
124 Date Grape,,3,3,0,0,0.0,0
Just another day in GTA by the looks of it,day,10,3,1,0.1,0.3333333333333333,1
Worst Bar ever They ordered Stupid Daiquiris They were given Stray Dogquiri and Pimp Juice,,15,11,0,0,0.0,0
"So I was at the Daiquiri Factory when the Hulk wearing some Victorias Secret gave me some Date Grape then next thing I knew i was lying on the floor chained up next to  a Stray Dogquiri full of his Pimp Juice I felt like I was going to Diequiri One of Hulks Ground Minion army kept asking me some Stupidaquiri about how to serve Orphan Souls I told him to serve them with some Daikiwi
And that was how I spent my spring break",felt,85,44,1,0.011764705882352941,0.022727272727272728,1
Hey guys Im going to the store You need anything,,10,6,0,0,0.0,0
It looks like the hard feelings between the waitresses were distilled,,11,5,0,0,0.0,0
Micheal Jones,,2,2,0,0,0.0,0
my favorite are Pimp juice and Orphan souls,,8,5,0,0,0.0,0
Gus just creates chaos wherever he goes and I love it,,11,5,0,0,0.0,0
According to yelp the daiquiri factory in Austin is now closed Wonder if it had anything to do with this,,20,7,0,0,0.0,0
If you look at 105 you can see one of the drinks say Orphan Souls,,15,5,0,0,0.0,0
"Micheal Jones 
Whos he",,4,3,0,0,0.0,0
last time i was this early red vs blue was on episode 2,,13,6,0,0,0.0,0
Stupiddaquiri was blue and gus didnt get his,,8,4,0,0,0.0,0
I didnt realise that Jordan had been promoted to Director of the RTAA and has THREE animators working under him,,20,10,0,0,0.0,0
I day this has to be the funniest and the most color yet,day,13,4,1,0.07692307692307693,0.25,1
lol Ill bet they were friends but found out they were after the same man and became archrivals,,18,6,0,0,0.0,0
Theres another Jordan working on animated adventures now How will we know which one Gus is talking about,,18,9,0,0,0.0,0
I wonder how date grape tastes like Or even Pimp Juice,,11,7,0,0,0.0,0
The production value on these new RTAAs are incredible Theyve come so far,,13,5,0,0,0.0,0
what is a daqrity,,4,1,0,0,0.0,0
"Daiquiri Factory
Waitresses fighting every night",,5,4,0,0,0.0,0
I love how because of Geoffs eyelids at the end he constantly looks mildly worried,,15,7,0,0,0.0,0
111 I realise omfg GUS NOOOOO,,6,6,0,0,0.0,0
Micheal Jones guys come on now you should proofread your production before you release it,,15,6,0,0,0.0,0
"The place became the Smackery Factory 
The flavor of the week Strawberry Kill Ye",,14,10,0,0,0.0,0
Iis that really okay I mean I dont wanna judge but thats kinda messed up I would feel awful,,19,11,0,0,0.0,0
Date Grape XD touch animators touch,,6,6,0,0,0.0,0
Thats the widest Ive ever seen Geoffs eyes open,,9,6,0,0,0.0,0
White waitress best the black waitress Im triggered Ive been offended Need to tumble about this BlackChiveLadders,,17,12,0,0,0.0,0
Ive had orphan souls before stuff was amazing,,8,5,0,0,0.0,0
When theyre sitting down the sign on the very right says Orphan Souls,,13,5,0,0,0.0,0
Been watch too much MKX I expected to hear round 1 for a second there,,15,9,0,0,0.0,0
Shots fired,,2,2,0,0,0.0,0
"Well you now have a reason to never go there again
I should try that once",,15,3,0,0,0.0,0
"SIXTH STREET
I wonder if they got a chance to meet my man BTR Ghost",,14,8,0,0,0.0,0
The fight scene in this one is like really well animated Its cool to see how far Jordan has come in his abilities to animate,,25,10,0,0,0.0,0
The RTX part chilled me,,5,3,0,0,0.0,0
I love the drink called Date Grape XD punny guys lol,,11,10,0,0,0.0,0
Date grape God I love you Jordan,,7,6,0,0,0.0,0
Anyone else notice the orphan souls daiquiri,,7,5,0,0,0.0,0
they have daiquiris that dont even exist  we all know orphans  dont have souls,,16,8,0,0,0.0,0
one of them said date grape and orphan souls ,,10,4,0,0,0.0,0
Date Grape very subtle joke Jordan,,6,5,0,0,0.0,0
That escalated quickly  I mean that really got out of hand,,12,5,0,0,0.0,0
My favorite thing about this is the Daiquiri names in the background,,12,6,0,0,0.0,0
Pimp juice darquri My favorite ,,6,6,0,0,0.0,0
My very very very first RTAA  And now Ive got rubber tube lines permanently embedded in my arm,,19,11,0,0,0.0,0
"055 stray dog next to it orphan souls
124 date grape hulk Victorias secret pimp juice",pimp,15,11,1,0.06666666666666667,0.09090909090909091,1
One of the daiquiri machines says orphan souls,,8,5,0,0,0.0,0
Ive been binge watching RvB again and all I can hear is grif and Simmons please someone help me,,19,9,0,0,0.0,0
Just noticed that one of the other bars is Benjamins Secret Bar from Guss dream xD,,16,9,0,0,0.0,0
Date grape and pimp juice comedy gold,pimp,7,6,1,0.14285714285714285,0.16666666666666666,1
Date Grape Nice callback I wonder many people will know what thats from,,13,8,0,0,0.0,0
"Date Grap
Hulk
Victorias Secret
Pimp Juice
Son of a bit guys Your all getting to creative with the backgrounds",bit,16,9,1,0.0625,0.1111111111111111,1
My favorite flavor is there Orphan Souls,,7,5,0,0,0.0,0
I miss having Michael on the podcast ,,8,4,0,0,0.0,0
will there be a volume 4 of rwby,,8,4,0,0,0.0,0
damn gus,damn,2,2,1,0.5,0.5,1
Anyone notice the date grape flavour in the background,,9,5,0,0,0.0,0
Had a pbj in my mouth when the waitress went crazy  Havent laughed so hard at one of these for awhile,,22,10,0,0,0.0,0
052 on the right orphan souls xD,,7,4,0,0,0.0,0
Easily my favorite RTAA,,4,3,0,0,0.0,0
the names of the daiquiri in the background xD,,9,4,0,0,0.0,0
these are always amazing lol,,5,2,0,0,0.0,0
054 the machine right to gus s head says orphan souls,,11,6,0,0,0.0,0
Date Grape Thats Bill Cosbys favourite drink,,7,7,0,0,0.0,0
Date grape,,2,2,0,0,0.0,0
Date grape,,2,2,0,0,0.0,0
Okay can somebody shoot that Pyrrha cosplayer in the heel,,10,5,0,0,0.0,0
Date Grape,,2,2,0,0,0.0,0
RTAA has more racial diversity than most popular television shows,,10,5,0,0,0.0,0
1 orphan soul daiquiri please,,5,4,0,0,0.0,0
i highly doubt that the daiquiri factory is a real place just because the name is too perfect,,18,7,0,0,0.0,0
Question is the Daiquiris Factory still there,,7,3,0,0,0.0,0
Orphan Souls are hands down the best daiquiri ,,9,6,0,0,0.0,0
Doesnt sound like Gus  Geoff started *it* but it does sound like they made whatever *IT* was so much worse,,21,10,0,0,0.0,0
the expressions are great on this one,,7,2,0,0,0.0,0
there was a daiquiri factory in my home town that seriously had the flavor Date grape Koolaid on the menu they got shut down SO hard,,26,12,0,0,0.0,0
Id love to go to RTX but I live in Alaska,,11,6,0,0,0.0,0
This dosent make sense the white girl won the fight,,10,7,0,0,0.0,0
remember when mega 64 and rooster teeth were rivals,,9,6,0,0,0.0,0
Micheal Jones  rtaa,,4,4,0,0,0.0,0
So like the tab the jokes on them D,,9,4,0,0,0.0,0
Watch it at half speed and it sounds like they spent a lot of time at the Daiquiri Factory right before telling the story,,24,11,0,0,0.0,0
Midnight Cowboy and Every Bar in Austin are my personal favorites,,11,7,0,0,0.0,0
Oh boy Im kinda early,,5,5,0,0,0.0,0
Im laughing harder at date grape,,6,4,0,0,0.0,0
122 Date Grape daiquiri the best daiquiri to give to your date,,12,6,0,0,0.0,0
1 glass of orphan souls please,,6,4,0,0,0.0,0
Wait was one of the flavors Date Grape,,8,4,0,0,0.0,0
I love how one of the bar names on the list is literally Every Bar in Austin XD,,18,10,0,0,0.0,0
THE OPENING MY HEART STOP,,5,5,0,0,0.0,0
one of the days for RTX is my birthday,,9,3,0,0,0.0,0
the daquiri behind gus is called orphan souls,,8,5,0,0,0.0,0
054 Orphan Souls WTF,,4,4,0,0,0.0,0
In Louisiana theres a place called The Daiquiri Station it has a drive thru,,14,8,0,0,0.0,0
Wow the last time I came this early my girlfriend left me,,12,6,0,0,0.0,0
Tbh if I was that waitress I would do that but sarcastically like messing with Geoff and Gus,,18,8,0,0,0.0,0
Orphan Souls Daquiri Flavor lol,,5,5,0,0,0.0,0
Date Grape OH,,3,3,0,0,0.0,0
HULK SMASH COWORKOUT INSULTING HULK,,5,5,0,0,0.0,0
Id like to drink some orphan souls right now its my favorite,,12,5,0,0,0.0,0
I want more fight scenes from these guys the RTAA crew,,11,6,0,0,0.0,0
Oh my gosh the Date Grape flavor lol,,8,6,0,0,0.0,0
I love how the list included benjamins secret bar,,9,7,0,0,0.0,0
Date Grape lmao,,3,3,0,0,0.0,0
I like how they upload in 4K,,7,3,0,0,0.0,0
I love all the names on the wall Hulk Date Grape,,11,7,0,0,0.0,0
Im pretty impressed at Jordans animation improvement over the years,,10,7,0,0,0.0,0
si si sippin on orphan souls,,6,5,0,0,0.0,0
blesS UP,,2,2,0,0,0.0,0
121 Gus do you really think anyone would take that as an innocent joke xD,,15,5,0,0,0.0,0
Orphan Souls flavored daiquiri huh,,5,5,0,0,0.0,0
Is it weird that they mentioned the new one piece game on the know and now I got add for it on this video lol,,25,9,0,0,0.0,0
051 Orphan Souls,,3,3,0,0,0.0,0
Sin Geoff and Guss shirts magically become clean,,8,6,0,0,0.0,0
113 First time Ive ever seen RTAA Geoffs eyes fully open,,11,9,0,0,0.0,0
Starts off with the date of rtx 2016 It ends on my birthday Wish i could go,,17,7,0,0,0.0,0
Far right machine at 054 is clearly labeled Orphan Souls,,10,7,0,0,0.0,0
"Heres the skip 022
Youre welcome",,5,3,0,0,0.0,0
Date grape classy really,,4,3,0,0,0.0,0
Its like Seinimation the Seinfeld animated shorts in a way,,10,5,0,0,0.0,0
Orphan Soul flavored daiquiri Yum,,5,5,0,0,0.0,0
I didnt know Orphan Souls were considered daiquiri,,8,6,0,0,0.0,0
0022,,1,1,0,0,0.0,0
on the lets play channel I think someone either goofed or REALLY over thought this,,15,6,0,0,0.0,0
Server fights are no joke,,5,3,0,0,0.0,0
35 bobs burger reference,,4,4,0,0,0.0,0
Love that realistic hair on the black waitress though ,,10,6,0,0,0.0,0
They should have RTX in Ireland,,6,3,0,0,0.0,0
I love all the names Date Grape,,7,5,0,0,0.0,0
This shouldve been called gossip gus,,6,5,0,0,0.0,0
best one yet these you guys just keep getting better  better keep it ip,,15,6,0,0,0.0,0
Im surprised that theyre advertising RTX right now I mean of course they should advertise it I imagine they make a TON of money from RTX its a big event for them Im just surprised they still have tickets to sell only 3 weeks out from the event In previous years they would sold out months ago Maybe theyre reaching the current limit on how many people would go to RTX,,71,33,0,0,0.0,0
I love the names of the Daquiri Orphan souls pimp juice hulk,pimp,12,9,1,0.08333333333333333,0.1111111111111111,1
I remember this conversation,,4,3,0,0,0.0,0
Orphan Souls XD,,3,3,0,0,0.0,0
please make more episode of rwby i really liked it its cool so pls _,,15,5,0,0,0.0,0
video stars at 022,,4,3,0,0,0.0,0
Im marathoning random episodes of this while building my first Gundam Its Gundam Barbatos if any one was curious,,19,10,0,0,0.0,0
The two waitresses fighting remind me of Mitsunari vs Ieyasu,,10,6,0,0,0.0,0
Gus tells the best stories,,5,4,0,0,0.0,0
You two are such troublemakers XD,,6,3,0,0,0.0,0
As a Superhero in training Id like to wish you all a Heroic day,day,14,6,1,0.07142857142857142,0.16666666666666666,1
I love having Micheal Jones on the podcast,,8,5,0,0,0.0,0
I like the orphan souls daiquiri in the far right over there,,12,4,0,0,0.0,0
Was wondering if this was gonna end up being like The Worlds End,,13,6,0,0,0.0,0
cant wait for HemboHero to do this with the source,,10,4,0,0,0.0,0
So the lesson here boys and girls is never go drinking with Gus and Geoff,,15,7,0,0,0.0,0
i tried looking up daiquiri factory incident and got nothing,,10,3,0,0,0.0,0
Hey thats pretty good,,4,3,0,0,0.0,0
Orphan souls sounds like a delicious daiguiris,,7,5,0,0,0.0,0
I JUST NOTICED ORPHAN SOULS ON THE RIGHT,,8,8,0,0,0.0,0
Date Grape  Bill Cosbys favorite drink,,7,7,0,0,0.0,0
Every time I watch these Im reminded that I dont think I like _____,,14,10,0,0,0.0,0
Well there were some *shots* fired 3,,7,4,0,0,0.0,0
grif and Simmons real life moment,,6,5,0,0,0.0,0
Ive been watching this a lot and never notice the Orphan Souls sign in the background,,16,8,0,0,0.0,0
Animation is always something Ive wanted to do but never felt like Ive had the artistic skills,felt,17,7,1,0.058823529411764705,0.14285714285714285,1
I love me some date grape,,6,3,0,0,0.0,0
plis rwby,,2,2,0,0,0.0,0
Orphan Souls Aww hell yeah,,5,5,0,0,0.0,0
Omg i remember watching this podcast,,6,4,0,0,0.0,0
Rooster Teeth Their Aholes but their fun to hang out with,,11,6,0,0,0.0,0
Prime example of warmongerers D,,5,4,0,0,0.0,0
The Intro music to these videos never get old,,9,4,0,0,0.0,0
Well that escalated quickly,,4,2,0,0,0.0,0
Congratz guys you got two random waitresses fired D,,9,6,0,0,0.0,0
RWBY isnt anime,,3,3,0,0,0.0,0
micheal jones,,2,2,0,0,0.0,0
Yasssss the rwby is real here,,6,3,0,0,0.0,0
Benjamins secret bar lmao,,4,4,0,0,0.0,0
I want the daquri that says orphan souls,,8,4,0,0,0.0,0
Round 1FIGHT,,2,2,0,0,0.0,0
I love that these guys are from Texas XD,,9,5,0,0,0.0,0
3,,1,1,0,0,0.0,0
Why does the animation feel a lot smoother,,8,5,0,0,0.0,0
Did anyone else notice the names of the daiquiris in the background xD,,13,6,0,0,0.0,0
I saw every rooster teeth animated and im a huge fan but this was just mean and pointless imo ,fan,20,9,1,0.05,0.1111111111111111,1
This is my new fav,,5,2,0,0,0.0,0
I love these animated adventures xD,,6,5,0,0,0.0,0
055 lol Orphan souls,,4,4,0,0,0.0,0
Michaels name is misspelled in the credits,,7,3,0,0,0.0,0
Ill have the orphan souls please,,6,3,0,0,0.0,0
i need to go there and combine the peach and lime flavours,,12,4,0,0,0.0,0
Is the orphan souls daiquiri a YFM reference Or are they referencing something in rooster teeth,,16,10,0,0,0.0,0
Date Grape and Orphan soulscan i get those two mixed please,,11,5,0,0,0.0,0
did anyone see the orphans soul flavor,,7,3,0,0,0.0,0
I just realised that the waitress gave geoff griff an orange drink and gus simmons a maroon drink lol,,19,12,0,0,0.0,0
thing is i like the daiquiri factory,,7,3,0,0,0.0,0
Go to 020 to skip the RTX intro,,8,5,0,0,0.0,0
i work in a restaurant every waitress hates each other remember that,,12,5,0,0,0.0,0
022 actual video start,,4,4,0,0,0.0,0
i would like one orphan souls please,,7,2,0,0,0.0,0
I wanna try that Date Grape flavor,,7,5,0,0,0.0,0
Just imagine them as Simmons and Grif,,7,4,0,0,0.0,0
Did anyone else notice the daiquiri machine on the far right is labled orphan souls,,15,7,0,0,0.0,0
This sounds familiar,,3,3,0,0,0.0,0
Did anyone read the drinks names one says orphan souls lol wtf XD,,13,9,0,0,0.0,0
The animation might not be the best but if it changed I think Id do what that angry lady did to her coworker to the animator of RTAA,,28,11,0,0,0.0,0
So is Daquiri Factory closed,,5,4,0,0,0.0,0
Date Grape,,2,2,0,0,0.0,0
I wonder if Geoff and Gus actually started a Murder,,10,6,0,0,0.0,0
dategrape,,1,1,0,0,0.0,0
Video starts at 022,,4,3,0,0,0.0,0
Love these Please make more,,5,2,0,0,0.0,0
benjamins secret bar lol,,4,4,0,0,0.0,0
Jack thats awesome patillo,,4,3,0,0,0.0,0
date grape victorias secret,,4,3,0,0,0.0,0
Which is the better RTAA The Breadstick Argument or this one,,11,6,0,0,0.0,0
theres a drink in the back that says orphan souls,,10,3,0,0,0.0,0
Dat elbow drop tho,,4,4,0,0,0.0,0
That tatas for now reference,,5,3,0,0,0.0,0
only 65 of the episode was actual episode ,,9,5,0,0,0.0,0
well I know what Im gonna do next time Im at a restaurant lol,,14,8,0,0,0.0,0
Its Simmons Gus and Grif Geoff,,6,5,0,0,0.0,0
Orphan Souls,,2,2,0,0,0.0,0
benjamins secret bar great call back,,6,5,0,0,0.0,0
i remeber hearing this story years ago,,7,5,0,0,0.0,0
orphan souls xD,,3,3,0,0,0.0,0
date grape flavored,,3,2,0,0,0.0,0
I want to try the orphan souls,,7,3,0,0,0.0,0
You know GusGeoff was on Tweeter with Gavin this morning talking about you and how Heros and Halfwits wentguess who was a Halfwit,,23,10,0,0,0.0,0
Omnigus 2 No Damn,,4,4,0,0,0.0,0
ORPHAN SOULS LMAO,,3,3,0,0,0.0,0
good thing you made out ok D,,7,3,0,0,0.0,0
Best Catfight story ever,,4,3,0,0,0.0,0
Is Geoff having a stroke Whats with his eyes,,9,5,0,0,0.0,0
Ill have orphan souls,,4,3,0,0,0.0,0
hey o 3 i think,,5,2,0,0,0.0,0
Did they spell Michaels name wrong in the end credits At 132 Or is it some inside joke that Im missing out on lol,,24,13,0,0,0.0,0
it took me a minute to actually watch this video Got an unskippable ad then got the RTX thing,,19,8,0,0,0.0,0
012 TRIGGERED,,2,2,0,0,0.0,0
Daiquiri Factory Civil War,,4,4,0,0,0.0,0
i would like one glass of orphan souls,,8,3,0,0,0.0,0
Shout out to Date Grape,,5,3,0,0,0.0,0
Date Grape,,2,2,0,0,0.0,0
did anyone else see orphan soul flavor daquri 50,,9,5,0,0,0.0,0
ITS JUST A PRANK BRO,,5,5,0,0,0.0,0
What if one of those waitresses watched this,,8,3,0,0,0.0,0
"106 
I come back for that moment alone",,8,3,0,0,0.0,0
That is the biggest Geoffs eyes have ever opened,,9,5,0,0,0.0,0
They spelled daiquiri wrong,,4,4,0,0,0.0,0
Simmons and Grif causing trouble at a bar Sounds about right,,11,6,0,0,0.0,0
Can you guys stop with those intros and outtros It freezes my comp,,13,7,0,0,0.0,0
Humanity needs a restraining order against Gus and Geoff,,9,5,0,0,0.0,0
Goeffs face kill me,,4,3,0,0,0.0,0
I do the exact same thing I never get the same result You guys are lucky,,16,8,0,0,0.0,0
119 the best anime fight ever,,6,4,0,0,0.0,0
orphan souls good name for alcohol,,6,4,0,0,0.0,0
weird question but has anyone died in an rtx like a attendee or someone,,14,5,0,0,0.0,0
U guys should make a Canadian branch of roosterteeth,,9,5,0,0,0.0,0
055 Orphan Souls,,3,3,0,0,0.0,0
Pimp juice hahahaha,,3,3,0,0,0.0,0
Finally they make this one I commented on the podcast that they should animate it,,15,5,0,0,0.0,0
3923 is where this story is on the podcast,,9,3,0,0,0.0,0
omg one of the drinks at the end was date grape,,11,3,0,0,0.0,0
if someone greets you and they dont stay and they were not the person at the front when you got there then that person was trying to steal a table and tips its a thing,,35,10,0,0,0.0,0
Wow 176 views only,,4,3,0,0,0.0,0
135 look at the bar names XD,,7,4,0,0,0.0,0
Are they from Texas,,4,2,0,0,0.0,0
do some more RWBY,,4,1,0,0,0.0,0
I love daquiris so much,,5,3,0,0,0.0,0
And this is why I dont joke about this kind of stuff to waitresses and other people,,17,8,0,0,0.0,0
Did anyone else see orphan souls in daiquiri factory,,9,5,0,0,0.0,0
I hope one day I can experience this first hand,day,10,6,1,0.1,0.16666666666666666,1
Something deep inside me just wishes it had escalated from there  Like yet dont talk for years and then one day they just find out like it was those guys at the bar but then itll be to late,day,40,16,1,0.025,0.0625,1
Are they part to blame if that waitress killed the other one,,12,4,0,0,0.0,0
The real question is why are there frying pans at the daiquiri factory,,13,7,0,0,0.0,0
Thats one way to enjoy a drink XD,,8,4,0,0,0.0,0
lol images starting a fight with 2 waitress and ended it off runing while the entire place if fighting,,19,11,0,0,0.0,0
052 Ill have an Orphan Souls please,,7,4,0,0,0.0,0
the animation is getting good,,5,2,0,0,0.0,0
"Check out our NEW film  Staircase httpsyoutubeLJ9KtxNZdWE
A mischievous cat takes a dangerous game with his owner a step too far",,21,13,0,0,0.0,0
Simons cat needs his own cartoon show on television Like if you agree ,,14,7,0,0,0.0,0
I cant get over how nice the animation is drawn out this could actually be a really good show Edit Just noticed it is a show It would be nice if they put it on one of the kid tv channels as the one of those short shows that are in between longer shows Please know that Im talking about,,60,19,0,0,0.0,0
OMG 748 this is EXACTLY how a car drive to the vet with my cat is like the constant and various versions of meow,,24,10,0,0,0.0,0
Is EVERYONE watching this in 2019,,6,4,0,0,0.0,0
"Simon has a cat
He is very fat
He got stung by a bee
And he was very hungry Im not good at poems ",,22,10,0,0,0.0,0
There are no words to describe how good this is,,10,3,0,0,0.0,0
"I love the way that child at the vet just SCREAMED
*baD DOOOOOOOOOOOGG*",,12,6,0,0,0.0,0
I would love to see a TV Series from you manI would watch it every single day and it would be awesome3,day,22,9,1,0.045454545454545456,0.1111111111111111,1
To be fair I think you could make a TV show out of this,,14,4,0,0,0.0,0
Its better than Garfield Dis is the first time I watched dis,,12,8,0,0,0.0,0
This deserves to be on TV and have its own show ,,12,4,0,0,0.0,0
I can relate to this so much more now that I actually have a cat,,15,4,0,0,0.0,0
1102 Time for a little payback ,,7,4,0,0,0.0,0
when she weighs him it said 666 pounds wtf,,9,4,0,0,0.0,0
The animation the drawings the colors THE EVERYTHING is just SO nice By the way amazing animations,,17,11,0,0,0.0,0
Simons cat this is so beautiful in color I love your animations D,,13,8,0,0,0.0,0
Hi Simon I just want to say I really like your animations I paused at so many frames just to adore the details Its so pretty and the story line is just amazing,,33,14,0,0,0.0,0
The struggle is real when it comes to getting them into the carrier,,13,4,0,0,0.0,0
This is so accurate lol,,5,3,0,0,0.0,0
Your hair is your skin,,5,3,0,0,0.0,0
The ending,,2,1,0,0,0.0,0
227 never skip leg day,day,5,4,1,0.2,0.25,1
Thats how my cat behaves when she sees the cat carrier Noooo I dont want to diiiiieeeeee,,17,10,0,0,0.0,0
Simons cat reminds me of my cats,,7,4,0,0,0.0,0
No exaggeration Ive been through this all  Including holding cat onto lap while trying to get up and reach for the remote But what a presentation  Anne,,29,14,0,0,0.0,0
In a time were western animation is over saturated with 3D animation it is so nice to see some 2D animation that is handled with so much love and care Not to say 3D animation is terrible god no I love Pixar and their movies but it is sad to see that 2D animation has now mostly died out in the West I do wish anime was more popular in western areas to help bring back that old 2D style Your Name was a beautifully animated movie with stunning visuals and amazing story but unfortunately it still didnt do too well in our theaters it did okay and hopefully maybe more anime movies can come here and show that 2D animation still has some amazing things it can still offer,,130,56,0,0,0.0,0
"If this would be in the TV
it will be the best movie ever",,13,5,0,0,0.0,0
I love the amount of detail in this animation Plus its coloured,,12,7,0,0,0.0,0
I LOVE SIMONS CAT,,4,4,0,0,0.0,0
I absolutels love that the Cat weighs 666,,8,6,0,0,0.0,0
The car scene are you insane the trees I can really see that you do this from passion Youtube will not give you enough money for this little masterpiece,,29,11,0,0,0.0,0
I wish I could animate like Simon ,,8,5,0,0,0.0,0
"THIS IS SO ACCURATE TO REAL CATS HOLY CRAP
What a nice and wholesome animation ",,15,13,0,0,0.0,0
Aww Idk why but I think its so cute and positive,,11,5,0,0,0.0,0
RIP small bee You may have only appeared on our screens for only a short while but you will be missed,,21,9,0,0,0.0,0
Like this comment if you love Simons cat ,,9,6,0,0,0.0,0
Whats wrong with 5000 people ,,6,5,0,0,0.0,0
